"id","sp","rep","ind","twig","chill","time","treatcode","position","row","col"
"FAGGRA10_HF_12","FAGGRA","10","FAGGRA10","12","chill2","time2","2_2",19,3,3
"ACESACX1_HF_09","ACESAC","X1","ACESACX1","09","chill2","time2","2_2",20,4,3
"QUERUB19_HF_05","QUERUB","19","QUERUB19","05","chill2","time3","2_3",20,4,3
"FAGGRA02_HF_04","FAGGRA","02","FAGGRA02","04","chill2","time3","2_3",20,4,3
"QUERUB21_HF_01","QUERUB","21","QUERUB21","01","chill2","time3","2_3",21,5,3
"HAMVIRX2_HF_10","HAMVIR","X2","HAMVIRX2","10","chill2","time1","2_1",21,5,3
"BETALL19_HF_10","BETALL","19","BETALL19","10","chill2","time1","2_1",21,5,3
"QUERUB22_HF_12","QUERUB","22","QUERUB22","12","chill2","time3","2_3",22,6,3
"ILEMUC03_HF_03","ILEMUC","03","ILEMUC03","03","chill2","time1","2_1",22,6,3
"BETALL18_HF_04","BETALL","18","BETALL18","04","chill2","time1","2_1",22,6,3
"QUERUBX4_HF_05","QUERUB","X4","QUERUBX4","05","chill2","time3","2_3",23,7,3
"HAMVIRX7_HF_07","HAMVIR","X7","HAMVIRX7","07","chill2","time1","2_1",23,7,3
"FAGGRA10_HF_11","FAGGRA","10","FAGGRA10","11","chill2","time3","2_3",23,7,3
"QUERUB19_HF_04","QUERUB","19","QUERUB19","04","chill2","time2","2_2",24,8,3
"ILEMUC07_HF_08","ILEMUC","07","ILEMUC07","08","chill2","time2","2_2",24,8,3
"VIBCAS02_HF_08","VIBCAS","02","VIBCAS02","08","chill2","time1","2_1",24,8,3
"HAMVIRX4_HF_05","HAMVIR","X4","HAMVIRX4","05","chill2","time3","2_3",25,1,4
"BETALL22_HF_11","BETALL","22","BETALL22","11","chill2","time3","2_3",25,1,4
"FAGGRA13_HF_08","FAGGRA","13","FAGGRA13","08","chill2","time3","2_3",25,1,4
"QUERUBX5_HF_09","QUERUB","X5","QUERUBX5","09","chill2","time1","2_1",26,2,4
"HAMVIRX6_HF_06","HAMVIR","X6","HAMVIRX6","06","chill2","time1","2_1",26,2,4
"BETALL19_HF_04","BETALL","19","BETALL19","04","chill2","time2","2_2",26,2,4
"QUERUBX2_HF_04","QUERUB","X2","QUERUBX2","04","chill2","time2","2_2",27,3,4
"ILEMUCX2_HF_01","ILEMUC","X2","ILEMUCX2","01","chill2","time2","2_2",27,3,4
"VIBCAS01_HF_05","VIBCAS","01","VIBCAS01","05","chill2","time2","2_2",27,3,4
"ACESAC07_HF_04","ACESAC","07","ACESAC07","04","chill2","time1","2_1",28,4,4
"QUERUB23_HF_06","QUERUB","23","QUERUB23","06","chill2","time3","2_3",28,4,4
"FAGGRA09_HF_12","FAGGRA","09","FAGGRA09","12","chill2","time2","2_2",28,4,4
"ACESACX3_HF_10","ACESAC","X3","ACESACX3","10","chill2","time3","2_3",29,5,4
"BETALLX1_HF_08","BETALL","X1","BETALLX1","08","chill2","time3","2_3",29,5,4
"FAGGRA03_HF_01","FAGGRA","03","FAGGRA03","01","chill2","time1","2_1",29,5,4
"VIBCASX5_HF_11","VIBCAS","X5","VIBCASX5","11","chill2","time1","2_1",30,6,4
"BETALL17_HF_02","BETALL","17","BETALL17","02","chill2","time1","2_1",30,6,4
"ACESACX3_HF_07","ACESAC","X3","ACESACX3","07","chill2","time1","2_1",30,6,4
"ACESAC09_HF_05","ACESAC","09","ACESAC09","05","chill2","time1","2_1",31,7,4
"QUERUBX4_HF_08","QUERUB","X4","QUERUBX4","08","chill2","time1","2_1",31,7,4
"HAMVIRX1_HF_01","HAMVIR","X1","HAMVIRX1","01","chill2","time2","2_2",31,7,4
"ACESAC06_HF_01","ACESAC","06","ACESAC06","01","chill2","time2","2_2",32,8,4
"HAMVIRX7_HF_05","HAMVIR","X7","HAMVIRX7","05","chill2","time3","2_3",32,8,4
"ILEMUC08_HF_07","ILEMUC","08","ILEMUC08","07","chill2","time1","2_1",32,8,4
"FAGGRAX2_HF_09","FAGGRA","X2","FAGGRAX2","09","chill2","time1","2_1",33,1,5
"ILEMUC03_HF_12","ILEMUC","03","ILEMUC03","12","chill2","time3","2_3",33,1,5
"FAGGRAX3_HF_12","FAGGRA","X3","FAGGRAX3","12","chill2","time2","2_2",33,1,5
"QUERUBX3_HF_12","QUERUB","X3","QUERUBX3","12","chill2","time2","2_2",34,2,5
"FAGGRAX3_HF_11","FAGGRA","X3","FAGGRAX3","11","chill2","time3","2_3",34,2,5
"HAMVIRX5_HF_06","HAMVIR","X5","HAMVIRX5","06","chill2","time3","2_3",34,2,5
"ILEMUCX5_HF_09","ILEMUC","X5","ILEMUCX5","09","chill2","time2","2_2",35,3,5
"HAMVIRX5_HF_02","HAMVIR","X5","HAMVIRX5","02","chill2","time2","2_2",35,3,5
"BETALL18_HF_03","BETALL","18","BETALL18","03","chill2","time3","2_3",35,3,5
"ACESACX2_HF_02","ACESAC","X2","ACESACX2","02","chill2","time1","2_1",36,4,5
"BETALL17_HF_11","BETALL","17","BETALL17","11","chill2","time2","2_2",36,4,5
