"Order","id","sp","rep","ind","twig","Row","Col","Treat","Final.lab","chill","time","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","day1","day2","day3","day","tleaf","lleaf","chillport","lday","fday","bday","nl"
2,"ACESACX1_HF_11","ACESAC","X1","ACESACX1",11,3,3,"8_1",NA,"chill8","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,70,NA,64,1
1,"ACESACX1_HF_12","ACESAC","X1","ACESACX1",12,3,3,"8_3",NA,"chill8","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,66.678368297455,54,NA,39,1
1,"ACESACX2_HF_01","ACESAC","X2","ACESACX2",1,5,3,"1_2",NA,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,NA,NA,70,0
1,"ACESACX2_HF_02","ACESAC","X2","ACESACX2",2,3,9,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESACX2_HF_03","ACESAC","X2","ACESACX2",3,2,9,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,85,0
1,"ACESACX2_HF_04","ACESAC","X2","ACESACX2",4,6,3,"4_2",NA,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,NA,NA,63,0
1,"ACESACX2_HF_05","ACESAC","X2","ACESACX2",5,2,8,"4_3",NA,"chill4","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,63.0118829365783,NA,NA,NA,0
1,"ACESACX2_HF_06","ACESAC","X2","ACESACX2",6,3,1,"2_3",NA,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,NA,NA,61,0
2,"ACESACX2_HF_07","ACESAC","X2","ACESACX2",7,5,4,"4_2",NA,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,NA,NA,63,0
1,"ACESACX2_HF_08","ACESAC","X2","ACESACX2",8,4,6,"8_3",NA,"chill8","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,66.678368297455,61,NA,39,1
1,"ACESACX2_HF_09","ACESAC","X2","ACESACX2",9,7,9,"2_2",NA,"chill2","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,49.8365118379173,NA,NA,NA,0
1,"ACESACX2_HF_10","ACESAC","X2","ACESACX2",10,2,1,"1_3",NA,"chill1","time3",NA,NA,"1","1","","DF",36,21,5,5,1,1,51.7673318647914,NA,NA,40,0
1,"ACESACX2_HF_11","ACESAC","X2","ACESACX2",11,4,7,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,78,0
NA,"ACESACX2_HF_12","ACESAC","X2","ACESACX2",12,5,1,"8_2",12,"chill8","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,53.4607334489438,NA,NA,70,0
1,"ACESACX3_HF_01","ACESAC","X3","ACESACX3",1,6,4,"4_2",8,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,NA,NA,NA,0
1,"ACESACX3_HF_02","ACESAC","X3","ACESACX3",2,7,1,"2_2",NA,"chill2","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,49.8365118379173,NA,NA,49,0
1,"ACESACX3_HF_03","ACESAC","X3","ACESACX3",3,2,4,"1_3",NA,"chill1","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,51.7673318647914,NA,NA,40,0
2,"ACESACX3_HF_04","ACESAC","X3","ACESACX3",4,3,9,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,85,0
1,"ACESACX3_HF_05","ACESAC","X3","ACESACX3",5,8,9,"8_2",NA,"chill8","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,53.4607334489438,NA,NA,70,0
1,"ACESACX3_HF_06","ACESAC","X3","ACESACX3",6,3,1,"4_3",NA,"chill4","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,63.0118829365783,61,NA,54,1
3,"ACESACX3_HF_07","ACESAC","X3","ACESACX3",7,4,2,"2_1",NA,"chill2","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,NA,NA,NA,0
1,"ACESACX3_HF_08","ACESAC","X3","ACESACX3",8,4,2,"8_3",NA,"chill8","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,66.678368297455,NA,NA,NA,0
1,"ACESACX3_HF_09","ACESAC","X3","ACESACX3",9,3,1,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESACX3_HF_10","ACESAC","X3","ACESACX3",10,3,8,"2_3",NA,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,NA,NA,NA,0
2,"ACESACX3_HF_11","ACESAC","X3","ACESACX3",11,6,1,"1_2",NA,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,NA,NA,NA,0
2,"ACESACX3_HF_12","ACESAC","X3","ACESACX3",12,1,3,"1_3",NA,"chill1","time3",NA,NA,"1","1","","DF",36,21,5,5,1,1,51.7673318647914,NA,NA,NA,0
1,"BETALL16_HF_01","BETALL","16","BETALL16",1,3,7,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,42,NA,29,1
1,"BETALL16_HF_02","BETALL","16","BETALL16",2,1,7,"1_3",NA,"chill1","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,51.7673318647914,33,NA,17,1
2,"BETALL16_HF_03","BETALL","16","BETALL16",3,1,1,"4_1",NA,"chill4","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,43,NA,29,1
1,"BETALL16_HF_04","BETALL","16","BETALL16",4,8,3,"2_2",NA,"chill2","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,49.8365118379173,49,NA,24,1
2,"BETALL16_HF_05","BETALL","16","BETALL16",5,4,1,"8_3",NA,"chill8","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,66.678368297455,22,NA,22,1
1,"BETALL16_HF_06","BETALL","16","BETALL16",6,3,6,"2_3",NA,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,40,NA,22,1
3,"BETALL16_HF_07","BETALL","16","BETALL16",7,2,2,"1_3",NA,"chill1","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,51.7673318647914,39,NA,17,1
NA,"BETALL16_HF_08","BETALL","16","BETALL16",8,5,1,"8_2",12,"chill8","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,53.4607334489438,55,NA,21,1
2,"BETALL16_HF_09","BETALL","16","BETALL16",9,2,9,"4_3",NA,"chill4","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,63.0118829365783,47,NA,22,1
2,"BETALL16_HF_10","BETALL","16","BETALL16",10,6,4,"4_2",8,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,49,NA,21,1
3,"BETALL16_HF_11","BETALL","16","BETALL16",11,3,5,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,43,NA,25,1
2,"BETALL16_HF_12","BETALL","16","BETALL16",12,6,4,"1_2",NA,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,27,NA,17,1
2,"BETALL17_HF_01","BETALL","17","BETALL17",1,4,1,"2_1",NA,"chill2","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,42,NA,29,1
2,"BETALL17_HF_02","BETALL","17","BETALL17",2,4,2,"2_1",NA,"chill2","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,78,NA,36,1
1,"BETALL17_HF_03","BETALL","17","BETALL17",3,2,10,"1_3",3,"chill1","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,51.7673318647914,61,NA,22,1
3,"BETALL17_HF_04","BETALL","17","BETALL17",4,2,3,"4_1",NA,"chill4","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,43,NA,25,1
2,"BETALL17_HF_05","BETALL","17","BETALL17",5,7,4,"8_2",NA,"chill8","time2",NA,NA,"3","1","","DF",25,10,-6,10,3,1,53.4607334489438,28,NA,10,1
2,"BETALL17_HF_06","BETALL","17","BETALL17",6,4,5,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
3,"BETALL17_HF_07","BETALL","17","BETALL17",7,6,7,"1_2",NA,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,17,NA,17,1
2,"BETALL17_HF_08","BETALL","17","BETALL17",8,4,4,"8_1",NA,"chill8","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,NA,NA,36,0
2,"BETALL17_HF_09","BETALL","17","BETALL17",9,5,2,"1_2",NA,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,49,NA,27,1
3,"BETALL17_HF_10","BETALL","17","BETALL17",10,3,2,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,25,0
2,"BETALL17_HF_11","BETALL","17","BETALL17",11,3,9,"2_1",NA,"chill2","time1",NA,NA,"-","1","","TS",13,-2,-18,13,NA,1,40.243854,NA,NA,29,0
3,"BETALL17_HF_12","BETALL","17","BETALL17",12,5,3,"4_2",NA,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,NA,NA,21,0
2,"BETALL18_HF_01","BETALL","18","BETALL18",1,6,3,"1_2",NA,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,63,NA,38,1
3,"BETALL18_HF_02","BETALL","18","BETALL18",2,4,9,"2_3",NA,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,39,NA,17,1
3,"BETALL18_HF_03","BETALL","18","BETALL18",3,7,3,"2_2",NA,"chill2","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,49.8365118379173,49,NA,21,1
3,"BETALL18_HF_04","BETALL","18","BETALL18",4,4,1,"2_3",NA,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,54,NA,22,1
3,"BETALL18_HF_05","BETALL","18","BETALL18",5,3,9,"8_1",NA,"chill8","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,43,NA,32,1
2,"BETALL18_HF_06","BETALL","18","BETALL18",6,2,3,"1_1",NA,"chill1","time1",NA,NA,"-","1","","TS",13,-2,-18,13,NA,1,40.243854,NA,NA,36,0
3,"BETALL18_HF_07","BETALL","18","BETALL18",7,4,1,"8_1",NA,"chill8","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,29,NA,29,1
3,"BETALL18_HF_08","BETALL","18","BETALL18",8,4,9,"8_1",NA,"chill8","time1",NA,NA,"1","1","","TS",13,-2,-18,13,1,1,40.243854,43,NA,32,1
2,"BETALL18_HF_09","BETALL","18","BETALL18",9,5,2,"4_2",NA,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,55,NA,21,1
